donor_id	date	volunteer_ids	recipient_ids	part_food_types	part_weights	transport	scale
4	6/29/12	19	20		55	Bike	
19	6/29/12	20	21		3	Bike	
3	6/29/12	63	14	Produce	0	Bike	
6	6/29/12	22	10		160	Bike	
25	6/29/12	23	22		3	Foot	
24	6/29/12	23	22		2	Foot	
1	6/29/12	19	20		150	Bike	
1	6/29/12	25			20	Bike	
27	6/29/12	27	26		50	Bike	
2	6/29/12	21	8	Produce	110	Bike	
3	6/30/12	34		Produce	0	Bike	
4	6/30/12	29	22	Produce	280	Car	
6	6/30/12		28	Produce	40	Bike	
24	6/30/12		29		0	Bike	
25	6/30/12		29	Baked Goods	15	Bike	
2	6/30/12	30	29		205	Bike	
1	6/30/12	28	26		375	Bike	
6	6/30/12	31	26		160	Bike	
6	6/30/12	36	30		125	Bike	
33	6/30/12				30	Bike	
6	7/1/12	4	5	Produce	250	Car	
2	7/1/12	7	5		250	Car	
1	7/1/12	13	8		593	Bike	
3	7/1/12	36	9		5	Car	
4	7/1/12	14	5		130	Bike	
24	7/2/12	40			10	Bike	
24	7/2/12	40			10	Bike	
6	7/2/12	3	7		110	Bike	
2	7/2/12	12	15	Produce	5	Bike	
3	7/2/12	47	14		84	Car	
1	7/2/12	39			60	Bike	
4	7/2/12	28	11		0	Bike	
2	7/3/12	32	35	Produce	0	Bike	
3	7/3/12	7	14	Produce	0	Bike	
1	7/3/12	42	18		295	Bike	
4	7/3/12	15			35	Bike	
1	7/3/12	13	34		25	Bike	
6	7/3/12	46	15		130	Bike	
19	7/3/12	16			0	Bike	
4	7/4/12	7			100	Bike	
1	7/4/12	39	7		150	Bike	
3	7/4/12	52	14		0	Bike	
25	7/4/12	53	39		0	Bike	
24	7/4/12	53	39		0	Bike	
6	7/4/12	54	10		0	Bike	
4	7/4/12	32			60	Bike	
6	7/4/12	12	40	Produce	0	Bike	
2	7/4/12	12	38	Produce	150	Bike	
43	7/5/12	48	44	Frozen Prepared Food	0	Bike	
2	7/5/12	57	38	Produce	45	Bike	
36	7/5/12	47	41		40	Car	
4	7/5/12	56	10		4	Foot	
27	7/5/12	24	18		20	Bike	
3	7/5/12	59	14		48	Bike	
6	7/5/12	2	7		92	Bike	
1	7/5/12	66	10	Produce	100	Bike	
3	7/6/12	26	14	Produce	36	Bike	
1	7/6/12	25		Baked Goods	20	Bike	
4	7/6/12	63	20	Produce	65	Bike	
1	7/6/12	63	20	Produce	145	Bike	
2	7/6/12	21	8	Produce	125	Bike	
25	7/6/12	32	22		10	Bike	
24	7/6/12	32	22		7	Bike	
19	7/6/12	20	28		25	Bike	
3	7/6/12	7	14		416	Car	
27	7/6/12	27	26		0	Bike	
6	7/6/12	96	10	Produce	140	Bike	
6	7/7/12	69	28		3	Bike	
3	7/7/12	62		Produce	70	Bike	
25	7/7/12	12	29	Baked Goods	0	Bike	
24	7/7/12	12	29	Fresh Prepared Food	3	Bike	
4	7/7/12	29	22	Produce	175	Bike	
2	7/7/12	30	29		280	Bike	
1	7/7/12	28	26		390	Bike	
6	7/7/12	31	26		145	Bike	
6	7/7/12	32	30		0	Bike	
33	7/7/12				100	Bike	
1	7/7/12	65		Produce	175	Bike	
6	7/8/12	4	5	Baked Goods	0	Car	
4	7/8/12	14	5		150	Bike	
2	7/8/12	7	5		150	Car	
3	7/8/12	36	9		75	Bike	
1	7/8/12	13	8		450	Bike	
4	7/9/12	37	11		0	Bike	
